id,type,initial_frame,detection_duration,lenght
509,car,9642,25,153.80352783203125
510,motorcycle,9667,16,79.088134765625
511,truck,9680,19,243.09776306152344
512,car,9686,40,156.2830810546875
513,car,9708,7,126.37548828125
514,car,9737,37,122.4163818359375
515,car,9766,28,149.09771728515625
516,train,9788,21,400.54400634765625
517,train,9800,2,527.8756103515625
518,car,9837,40,155.4107666015625
519,truck,9896,31,179.33245849609375
520,truck,9920,1,376.796142578125
521,car,9948,46,147.947021484375
522,car,9962,3,127.8309326171875
523,train,9969,4,228.83497619628903
524,truck,10010,1,127.7169189453125
525,motorcycle,10057,1,65.9537353515625
526,motorcycle,10065,1,59.1796875
527,truck,10071,29,299.30059814453125
528,car,10084,31,131.0703125
529,car,10110,43,152.0694580078125
530,car,10117,16,91.349609375
531,car,10158,41,131.555419921875
532,truck,10182,11,214.4278564453125
533,motorcycle,10244,1,69.81304931640625
534,car,10303,36,154.17706298828125
535,truck,10316,25,397.88990783691406
536,train,10427,29,343.98101806640625
537,car,10466,24,157.99298095703125
538,truck,10466,17,212.9773101806641
539,car,10483,51,143.58013916015625
540,car,10535,10,130.2247314453125
541,bus,10563,27,523.19287109375
542,truck,10596,34,285.5001220703125
543,car,10608,32,115.96478271484376
544,car,10632,23,132.924072265625
545,truck,10645,2,184.835205078125
546,truck,10657,4,125.1715087890625
547,truck,10686,32,226.0656890869141
548,motorcycle,10701,2,63.47955322265625
549,car,10702,3,108.1070556640625
550,car,10722,1,93.6153564453125
551,car,10761,24,175.93389892578125
552,car,10768,9,130.63238525390625
553,truck,10778,47,411.26995849609375
554,car,10802,9,167.35479736328125
555,car,10835,42,147.67071533203125
556,bus,10870,5,407.8898315429688
557,truck,10919,13,286.6372375488281
558,bus,10922,2,402.4090576171875
559,truck,10932,24,353.9701538085937
560,car,10960,20,126.906982421875
561,truck,11018,1,324.11708068847656
562,car,11047,54,123.44189453125
563,car,11054,49,164.96307373046875
564,truck,11061,1,120.6751708984375
565,truck,11072,19,242.46527099609372
566,train,11149,30,398.96002197265625
567,truck,11182,4,210.15350341796875
568,car,11221,52,150.45263671875
569,train,11229,16,427.1702880859375
570,car,11229,2,87.28594970703125
571,car,11266,14,129.97601318359375
572,car,11269,52,190.3802490234375
573,car,11290,6,113.6434326171875
574,truck,11304,25,222.958740234375
575,car,11323,42,167.08531188964844
576,truck,11353,1,128.43994140625
577,car,11375,47,151.864013671875
578,car,11399,39,163.5904541015625
579,car,11446,18,129.67108154296875
580,car,11456,4,95.7677001953125
581,truck,11494,32,201.700439453125
582,truck,11513,5,232.3989105224609
583,car,11537,2,89.7747802734375
584,car,11565,3,143.44427490234375
585,train,11576,27,416.9127807617188
586,car,11604,3,86.18408203125
587,train,11611,36,411.4020385742188
588,train,11639,1,348.7446594238281
589,car,11662,42,130.90789794921875
590,car,11666,54,137.416259765625
591,car,11687,17,184.15626525878903
592,truck,11690,1,140.5196533203125
593,car,11691,42,151.9892578125
594,car,11704,6,156.2935791015625
595,car,11723,45,123.900390625
596,car,11732,17,120.0211181640625
597,truck,11753,3,126.01834106445312
598,car,11756,42,165.1505126953125
599,car,11768,8,130.460205078125
600,car,11806,35,133.6207275390625
601,truck,11819,35,262.68572998046875
602,car,11836,45,118.09002685546876
603,car,11840,55,130.84649658203125
604,car,11857,40,148.36431884765625
605,car,11863,46,213.1697998046875
606,bus,11897,4,410.7261657714844
607,car,11934,54,170.42828369140625
608,bus,11936,8,404.7760009765625
609,truck,11937,22,242.03466796875
610,bus,11975,4,282.02392578125
611,truck,12039,23,461.9487609863281
612,train,12039,2,462.96002197265625
613,truck,12068,10,587.3961181640625
614,truck,12127,33,263.90577697753906
615,truck,12135,13,146.2646484375
616,car,12145,46,187.7486572265625
617,car,12162,5,124.3050537109375
618,car,12179,37,156.02931213378906
619,car,12189,44,170.66578674316406
620,car,12217,33,131.5936279296875
621,bus,12222,5,344.9765930175781
622,car,12242,27,119.8756103515625
623,truck,12254,17,212.76678466796875
624,car,12266,41,133.478759765625
625,car,12275,44,136.9619140625
626,truck,12299,15,300.444091796875
627,car,12314,10,71.1837158203125
628,car,12328,26,136.45703125
629,car,12331,9,105.64178466796876
630,car,12383,41,142.46826171875
631,truck,12414,44,137.5052490234375
632,bus,12430,5,411.0634460449219
633,bus,12468,1,114.1373291015625
634,bus,12478,5,403.918701171875
635,car,12494,21,139.59808349609375
636,car,12557,2,77.556884765625
637,car,12571,43,148.62835693359375
638,car,12597,49,126.3389892578125
639,bus,12667,38,197.98406982421875
640,car,12691,36,169.21820068359375
641,motorcycle,12695,1,60.148681640625
642,bus,12725,23,259.4576416015625
643,car,12765,44,125.92822265625
644,car,12795,2,100.8905029296875
645,car,12801,46,140.543212890625
646,car,12829,36,146.81884765625
647,truck,12847,11,191.69061279296875
648,car,12866,41,177.56260681152344
649,car,12947,41,149.6729736328125
650,car,12975,21,123.2684326171875
651,car,12986,43,184.7447509765625
652,train,12997,1,232.44134521484372
653,truck,13017,13,205.0048828125
654,motorcycle,13074,12,80.3682861328125
655,car,13088,24,136.26318359375
656,truck,13120,36,268.5079345703125
657,car,13133,34,78.2647705078125
658,car,13202,54,117.4840087890625
659,car,13203,36,151.10047912597656
660,car,13226,46,137.3768310546875
661,car,13243,26,127.875
662,car,13284,25,137.610107421875
663,car,13313,52,113.59893798828124
664,car,13328,37,212.4900054931641
665,car,13337,1,85.39013671875
666,car,13342,33,95.81884765625
667,car,13357,53,135.0538330078125
668,car,13371,40,172.8638916015625
669,car,13374,50,146.2025146484375
670,car,13418,3,81.81591796875
671,car,13447,44,146.33416748046875
672,motorcycle,13448,43,67.9266357421875
673,car,13482,58,149.2578125
674,truck,13512,52,409.6823120117188
675,truck,13555,17,126.18206787109376
676,truck,13577,42,385.1506958007813
677,car,13607,11,121.513916015625
678,car,13618,51,178.21885681152344
679,car,13634,51,141.2813720703125
680,car,13662,59,154.00367736816406
681,truck,13708,55,388.7587890625
682,car,13755,19,201.48133850097656
683,car,13768,11,178.4381103515625
684,car,13774,26,105.818115234375
685,car,13800,12,150.4521484375
686,truck,13804,1,169.732177734375
687,car,13823,14,129.260986328125
688,truck,13827,18,274.62371826171875
689,car,13842,19,78.6885986328125
690,car,13845,27,158.23583984375
691,truck,13872,37,370.15142822265625
692,train,13879,3,524.694580078125
693,car,13892,3,59.986328125
694,motorcycle,13910,1,72.5511474609375
695,motorcycle,13914,1,71.57415771484375
696,motorcycle,13917,4,65.7174072265625
697,car,13932,52,175.13104248046875
698,train,13947,4,416.2952880859375
699,car,13987,19,130.17156982421875
700,train,13989,4,406.73095703125
701,car,14017,39,146.1893310546875
702,truck,14043,8,155.06414794921875
703,bus,14052,2,170.29888916015625
704,car,14081,55,128.025390625
705,motorcycle,14081,1,59.500244140625
706,truck,14090,1,78.298095703125
707,truck,14110,5,359.2848815917969
708,truck,14118,11,348.453125
709,train,14146,2,522.2930908203125
710,car,14164,50,173.41587829589844
711,car,14203,10,144.2401123046875
712,car,14212,46,143.88427734375
713,truck,14222,40,251.96807861328125
714,car,14239,44,163.2342529296875
715,truck,14283,1,120.3734130859375
716,car,14292,46,184.4278564453125
717,car,14295,48,147.57373046875
718,car,14306,30,127.60809326171876
719,motorcycle,14315,7,74.14849853515625
720,car,14326,33,130.7447509765625
721,car,14388,39,140.23126220703125
722,truck,14442,26,158.3214111328125
723,car,14459,39,155.4569091796875
724,car,14476,36,158.30029296875
725,car,14483,37,163.5394287109375
726,car,14517,38,137.549560546875
727,motorcycle,14518,1,56.440673828125
728,car,14533,32,161.9893798828125
729,motorcycle,14534,1,67.41387939453125
730,motorcycle,14554,1,47.8935546875
731,car,14563,52,148.77928161621094
732,train,14577,6,404.72174072265625
733,car,14644,43,130.4056396484375
734,car,14653,1,119.9791259765625
735,train,14694,5,521.2761840820312
736,car,14699,52,127.4188232421875
737,car,14702,50,152.444580078125
738,car,14710,28,130.5150146484375
739,car,14744,50,171.31939697265625
740,car,14754,6,118.8863525390625
741,car,14827,45,110.45574951171876
742,motorcycle,14836,1,60.679443359375
743,car,14882,49,123.7030029296875
744,car,14889,52,151.0816650390625
745,motorcycle,14910,1,58.975616455078125
746,train,14919,38,412.85650634765625
747,car,14951,54,107.960693359375
748,car,14983,53,158.6282958984375
749,truck,15034,3,158.86260986328125
750,car,15071,57,146.70672607421875
751,car,15078,53,157.537841796875
752,truck,15144,49,404.6841125488281
753,car,15157,54,183.73643493652344
754,motorcycle,15177,11,61.4757080078125
755,car,15196,31,301.7571716308594
756,car,15215,50,125.93865966796876
757,train,15258,16,540.9415283203125
758,car,15306,14,92.3707275390625
759,truck,15323,28,224.66937255859372
760,train,15332,26,403.040771484375
761,car,15345,1,112.5771484375
762,car,15354,7,99.3623046875
763,car,15361,1,163.9984130859375
764,car,15374,26,66.71435546875
765,car,15389,55,128.725341796875
766,truck,15403,36,190.2989501953125
767,truck,15416,18,176.14959716796875
768,car,15474,17,194.086181640625
769,train,15480,16,522.8785400390625
770,train,15505,12,276.3057861328125
771,car,15522,48,140.896484375
772,truck,15535,24,155.26979064941406
773,truck,15546,35,196.1725006103516
774,train,15575,21,368.48095703125
775,car,15634,49,162.03436279296875
776,car,15644,2,96.30322265625
777,truck,15658,51,321.1952514648437
778,car,15675,51,154.6700439453125
779,truck,15705,39,231.6246490478516
780,car,15716,47,179.06121826171875
781,truck,15774,6,147.0672607421875
782,train,15805,6,422.77392578125
783,truck,15838,14,510.968994140625
784,car,15838,2,249.76687622070312
785,car,15843,29,137.67449951171875
786,train,15860,29,405.2013549804688
787,car,15927,25,153.96270751953125
788,motorcycle,15934,23,66.961181640625
789,car,15971,46,154.36651611328125
790,car,15976,9,115.98333740234376
791,car,15977,43,149.29200744628906
792,train,15977,5,437.7872009277344
793,truck,15995,6,268.537109375
794,car,16022,43,162.42852783203125
795,truck,16025,7,245.170166015625
796,car,16034,53,146.5115966796875
797,car,16064,49,160.97203063964844
798,car,16067,41,131.02850341796875
799,truck,16087,45,250.9743804931641
800,car,16101,46,145.114501953125
801,truck,16122,26,216.05450439453125
802,car,16134,47,182.14031982421875
803,car,16140,46,136.4779052734375
804,car,16148,4,71.035888671875
805,truck,16231,27,379.0133666992188
806,truck,16249,22,438.26564025878906
807,truck,16275,24,401.5462951660156
808,train,16278,6,455.0911865234375
809,car,16303,26,153.33311462402344
810,car,16314,42,114.499267578125
811,car,16342,47,134.283203125
812,car,16346,48,182.99151611328125
813,truck,16388,32,412.0459899902344
814,car,16442,23,129.0384521484375
815,bus,16449,43,311.0859375
816,car,16484,47,109.440673828125
